#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  6.60000000E+01  9.84374765E-01  9.94858527E-04
  6.62500000E+01  9.90892122E-01  8.43661928E-04
  6.65000000E+01  9.98462963E-01  7.62042189E-04
  6.67500000E+01  1.00593824E+00  6.65400188E-04
  6.70000000E+01  1.01235027E+00  6.96865640E-04
  6.72500000E+01  1.01743837E+00  7.54555008E-04
  6.75000000E+01  1.01901203E+00  9.41122844E-04
  6.77500000E+01  1.01785165E+00  9.80647440E-04
  6.80000000E+01  1.01386048E+00  9.87893076E-04
  6.82500000E+01  1.00832760E+00  9.74703370E-04
  6.85000000E+01  1.00072940E+00  8.25309220E-04
  6.87500000E+01  9.94131718E-01  6.87953597E-04
  6.90000000E+01  9.88155302E-01  6.63079827E-04
  6.92500000E+01  9.83411309E-01  7.65428669E-04
  6.95000000E+01  9.81608851E-01  9.09937324E-04
  6.97500000E+01  9.81797126E-01  1.02741303E-03
  7.00000000E+01  9.85783501E-01  9.95912247E-04
  7.02500000E+01  9.90930944E-01  8.84288469E-04
  7.05000000E+01  9.97982330E-01  7.64896454E-04
  7.07500000E+01  1.00478943E+00  6.87069583E-04
  7.10000000E+01  1.01080895E+00  6.70312844E-04
  7.12500000E+01  1.01502009E+00  7.40877014E-04
  7.15000000E+01  1.01706397E+00  8.65005591E-04
  7.17500000E+01  1.01647960E+00  9.91704009E-04
  7.20000000E+01  1.01245112E+00  1.00498930E-03
  7.22500000E+01  1.00790662E+00  9.24981251E-04
  7.25000000E+01  1.00167437E+00  7.83999127E-04
  7.27500000E+01  9.95053472E-01  6.75965843E-04
  7.30000000E+01  9.89226592E-01  6.45963109E-04
  7.32500000E+01  9.84962970E-01  7.24503177E-04
  7.35000000E+01  9.83367942E-01  8.70640102E-04
  7.37500000E+01  9.84136646E-01  1.00120239E-03
  7.40000000E+01  9.86581126E-01  1.06977075E-03
  7.42500000E+01  9.92037830E-01  8.46121892E-04
  7.45000000E+01  9.97817453E-01  7.64342230E-04
  7.47500000E+01  1.00406808E+00  6.85796518E-04
  7.50000000E+01  1.00934804E+00  6.50017500E-04
  7.52500000E+01  1.01305199E+00  7.08522377E-04
  7.55000000E+01  1.01505138E+00  9.38876108E-04
  7.57500000E+01  1.01445958E+00  1.02720988E-03
  7.60000000E+01  1.01161221E+00  9.87852787E-04
  7.62500000E+01  1.00693116E+00  9.09999523E-04
  7.65000000E+01  1.00184764E+00  7.47660952E-04
  7.67500000E+01  9.95804858E-01  6.64846393E-04
  7.70000000E+01  9.90605926E-01  6.41456303E-04
  7.72500000E+01  9.87029498E-01  7.34317859E-04
  7.75000000E+01  9.84841030E-01  9.38408858E-04
  7.77500000E+01  9.85761338E-01  1.04109835E-03
  7.80000000E+01  9.88392429E-01  9.65045329E-04
  7.82500000E+01  9.92382355E-01  9.10145985E-04
  7.85000000E+01  9.97319110E-01  7.74798971E-04
  7.87500000E+01  1.00288206E+00  6.58849278E-04
  7.90000000E+01  1.00839720E+00  7.00790934E-04
  7.92500000E+01  1.01143108E+00  7.59943620E-04
  7.95000000E+01  1.01346873E+00  8.71439120E-04
  7.97500000E+01  1.01249652E+00  9.65957663E-04
  8.00000000E+01  1.01052910E+00  1.00982752E-03
  8.02500000E+01  1.00678113E+00  9.48940745E-04
  8.05000000E+01  1.00221101E+00  8.00661718E-04
  8.07500000E+01  9.96593229E-01  6.53750949E-04
  8.10000000E+01  9.91955821E-01  6.28309216E-04
  8.12500000E+01  9.88413555E-01  7.48183976E-04
  8.15000000E+01  9.87040032E-01  8.87190712E-04
  8.17500000E+01  9.86868698E-01  1.03030999E-03
  8.20000000E+01  9.88732192E-01  1.01939759E-03
  8.22500000E+01  9.92871693E-01  8.87349087E-04
  8.25000000E+01  9.97423482E-01  7.62146869E-04
  8.27500000E+01  1.00195722E+00  6.55066596E-04
  8.30000000E+01  1.00684995E+00  6.03103298E-04
  8.32500000E+01  1.01003763E+00  7.63963039E-04
  8.35000000E+01  1.01171662E+00  8.95830499E-04
  8.37500000E+01  1.01196168E+00  1.01151920E-03
  8.40000000E+01  1.00978632E+00  1.00229238E-03
  8.42500000E+01  1.00624577E+00  9.51829614E-04
  8.45000000E+01  1.00176148E+00  7.53126894E-04
  8.47500000E+01  9.97801818E-01  6.23084939E-04
  8.50000000E+01  9.93392032E-01  5.57250398E-04
  8.52500000E+01  9.90318093E-01  6.96607405E-04
  8.55000000E+01  9.87994528E-01  8.49919935E-04
  8.57500000E+01  9.88310720E-01  1.01226533E-03
  8.60000000E+01  9.89275840E-01  1.04238530E-03
  8.62500000E+01  9.92760602E-01  9.47050149E-04
  8.65000000E+01  9.97105126E-01  7.28411490E-04
  8.67500000E+01  1.00169917E+00  6.13591639E-04
  8.70000000E+01  1.00538115E+00  5.41008113E-04
  8.72500000E+01  1.00829156E+00  6.50498210E-04
  8.75000000E+01  1.01044322E+00  8.66966507E-04
  8.77500000E+01  1.01051505E+00  1.07104491E-03
  8.80000000E+01  1.00882709E+00  1.08245220E-03
  8.82500000E+01  1.00668580E+00  9.42478825E-04
  8.85000000E+01  1.00276827E+00  7.82927104E-04
  8.87500000E+01  9.98802010E-01  5.79799747E-04
  8.90000000E+01  9.94594035E-01  4.73972911E-04
  8.92500000E+01  9.91315098E-01  6.60666000E-04
  8.95000000E+01  9.89343277E-01  9.18613463E-04
  8.97500000E+01  9.88752544E-01  1.07010937E-03
  9.00000000E+01  9.90315123E-01  1.07346560E-03
  9.02500000E+01  9.93081818E-01  9.37978641E-04
  9.05000000E+01  9.96283328E-01  7.43315378E-04
  9.07500000E+01  1.00023558E+00  5.17077596E-04
  9.10000000E+01  1.00395946E+00  4.50028113E-04
  9.12500000E+01  1.00745908E+00  6.53227136E-04
  9.15000000E+01  1.00892404E+00  8.73892427E-04
  9.17500000E+01  1.00967800E+00  1.09217140E-03
  9.20000000E+01  1.00916833E+00  1.07010455E-03
  9.22500000E+01  1.00661370E+00  9.32082488E-04
  9.25000000E+01  1.00332722E+00  7.25772365E-04
  9.27500000E+01  9.99371840E-01  4.90973233E-04
  9.30000000E+01  9.95798515E-01  3.75715737E-04
  9.32500000E+01  9.92683008E-01  6.84219230E-04
  9.35000000E+01  9.90633728E-01  9.03179232E-04
  9.37500000E+01  9.89736877E-01  1.07848120E-03
  9.40000000E+01  9.90552992E-01  1.10655489E-03
  9.42500000E+01  9.92684678E-01  9.55475093E-04
  9.45000000E+01  9.95692410E-01  6.99138005E-04
  9.47500000E+01  9.99276230E-01  4.25544116E-04
  9.50000000E+01  1.00273989E+00  3.66824289E-04
  9.52500000E+01  1.00575743E+00  6.39568336E-04
  9.55000000E+01  1.00824100E+00  9.46817722E-04
  9.57500000E+01  1.00885724E+00  1.04636882E-03
  9.60000000E+01  1.00894584E+00  1.15857091E-03
  9.62500000E+01  1.00690138E+00  9.83440374E-04
  9.65000000E+01  1.00377542E+00  6.98634717E-04
  9.67500000E+01  1.00041864E+00  3.81719086E-04
  9.70000000E+01  9.97006522E-01  3.15299671E-04
  9.72500000E+01  9.94244358E-01  5.97344582E-04
  9.75000000E+01  9.91274701E-01  9.38280519E-04
  9.77500000E+01  9.90397229E-01  1.11865122E-03
  9.80000000E+01  9.90519405E-01  1.14056545E-03
  9.82500000E+01  9.92570579E-01  9.82956992E-04
  9.85000000E+01  9.94871770E-01  7.09364839E-04
  9.87500000E+01  9.98103648E-01  3.51292955E-04
  9.90000000E+01  1.00146802E+00  3.39437374E-04
  9.92500000E+01  1.00503510E+00  6.68295457E-04
  9.95000000E+01  1.00726637E+00  9.94309736E-04
  9.97500000E+01  1.00865754E+00  1.12257501E-03
